Eerste_voornaam;Totaal levend;1900;1910;1920;1930;1940;1950;1960;1970;1980;1990;2000
Johannes;3940;4950;8108;8262;8031;7913;6683;3944;2050;1272;633;331
Jan;2406;6601;6358;5703;5110;4487;3448;2335;1436;971;664;466
Cornelis;1729;3300;4376;4236;3853;3491;2578;1554;890;615;395;237
Hendrik;1528;3960;3756;3464;3190;2826;2256;1551;942;614;382;251
Willem;1325;3630;3598;3136;2782;2432;1777;1190;836;620;465;353
Petrus;1106;1320;2023;2242;2131;2173;2095;1230;527;280;94;29
Pieter;1069;3960;2964;2480;2108;1817;1390;1030;804;563;407;287
Gerrit;963;1980;2274;2096;1978;1753;1402;974;616;416;272;177
Wilhelmus;896;1650;1630;1991;2089;1993;1587;815;328;175;74;20
Peter;885;660;600;716;892;1222;1647;1340;970;512;180;63
Robert;868;0;117;246;746;1163;1525;1456;954;624;222;69
Jacobus;828;2310;2002;2004;1880;1745;1333;725;372;240;143;73
Antonius;823;330;1413;1798;1855;1804;1444;776;321;175;85;32
Gerardus;821;660;1571;1973;1845;1810;1470;743;302;163;62;21
Adrianus;803;1320;1599;1791;1774;1638;1333;830;383;211;95;48
Franciscus;761;990;1175;1356;1373;1514;1494;923;332;176;52;16
Hendrikus;697;990;1323;1580;1540;1456;1201;687;287;177;82;37
Johan;654;2310;1444;1331;1263;1157;939;729;540;294;147;79
Jacob;636;1980;1788;1453;1284;1130;881;597;412;304;227;168
Jeroen;633;0;17;4;10;40;274;1135;1758;1195;538;90
Marinus;616;330;1165;1165;1122;1078;929;709;417;280;178;112
Dirk;614;990;1351;1253;1169;1092;820;558;447;349;260;161
Ronald;605;0;3;50;169;531;1400;1308;729;269;72;13
Theodorus;567;660;1148;1383;1423;1325;983;431;174;100;51;18
Martinus;556;1650;830;952;909;946;935;688;437;260;106;36
Thomas;530;330;186;197;215;226;243;220;441;1034;1171;792
Henricus;494;0;758;955;1032;1090;969;497;155;83;30;8
Dennis;476;0;0;3;2;18;63;648;1489;1051;507;99
Richard;473;0;55;94;89;173;470;1340;869;479;136;30
Marcel;469;0;17;24;39;91;592;1548;835;282;78;18
Mark;439;0;7;2;5;13;107;603;1183;1015;473;149
Nicolaas;434;1320;1030;987;899;866;674;375;237;212;99;45
Patrick;420;0;0;0;3;18;90;1005;1104;737;303;47
Albert;416;660;827;773;730;715;665;483;298;187;109;61
René;414;0;24;44;89;281;896;976;486;262;61;13
Arie;406;1980;1117;1077;906;747;567;374;236;164;115;77
Paul;391;0;152;184;235;390;558;603;676;422;128;36
Tim;389;0;0;1;2;4;11;44;353;946;1072;812
Martijn;388;0;3;4;6;9;25;419;1240;801;559;129
Erik;375;0;24;21;60;118;470;803;729;495;158;52
Maarten;372;0;248;235;215;242;275;381;751;589;363;173
Bernardus;356;0;720;814;860;791;615;299;142;79;31;11
Wouter;353;330;258;215;221;220;209;247;668;644;503;162
Alexander;351;0;110;103;127;210;324;616;662;409;221;191
Michael;349;330;14;31;48;84;204;511;676;836;316;99
Marco;349;0;0;3;5;15;178;1214;615;381;178;44
Sander;345;0;24;21;16;19;34;309;873;770;601;206
Bart;337;0;52;33;41;63;115;295;677;757;590;204
Daniël;332;330;100;101;86;90;89;269;590;587;579;428
Frank;329;0;34;48;81;183;367;565;576;543;199;46
Niels;328;0;7;1;5;7;19;133;630;722;781;429
Paulus;327;0;252;271;339;590;771;415;210;111;33;13
Leonardus;315;330;624;640;663;679;571;327;125;62;27;10
Klaas;311;2310;893;696;599;542;407;334;229;149;103;78
Christiaan;311;990;544;501;439;409;340;290;401;323;171;101
Albertus;303;330;617;647;644;616;507;306;150;84;46;24
Kevin;302;0;0;0;0;0;3;11;264;1183;813;219
Tom;297;0;14;24;44;55;64;89;320;707;750;427
Michel;296;0;14;19;24;39;182;824;698;377;117;25
Robin;296;0;3;0;4;15;39;193;318;818;687;340
Daan;289;0;3;4;4;5;8;23;143;367;923;960
Edwin;285;0;7;13;16;43;250;1057;462;207;65;13
Frederik;283;660;520;518;514;525;440;310;198;125;68;45
Hans;281;330;221;305;539;527;494;313;203;125;43;19
Roy;272;0;0;2;11;78;77;226;576;759;386;95
Ruben;269;0;0;2;6;14;26;77;248;472;664;738
Leendert;268;990;758;613;558;490;367;249;175;129;86;64
Adriaan;267;1320;682;562;500;454;372;269;194;146;99;62
Rudolf;267;330;162;231;412;496;623;305;151;77;19;6
Martin;265;0;59;78;98;170;389;564;469;227;78;34
Stefan;264;0;7;4;2;5;23;240;526;839;400;119
Gerard;264;0;469;449;483;466;404;307;193;124;64;39
Hubertus;263;0;403;525;550;591;508;240;97;48;21;7
David;263;0;138;87;69;69;91;263;465;388;430;365
Mohamed;262;0;17;74;208;176;265;333;316;280;267;279
Lucas;260;0;86;108;104;118;147;120;109;192;527;832
Lars;258;0;0;0;1;1;8;50;142;350;853;753
Herman;257;330;631;585;559;502;404;247;146;93;48;27
Bram;257;0;10;9;12;11;12;41;247;384;702;752
Thijs;256;0;28;32;36;33;30;36;267;385;588;784
Eric;255;0;10;27;48;137;504;683;265;159;59;19
Robertus;254;0;28;36;107;282;635;521;220;97;18;3
Jasper;251;0;17;34;31;28;28;104;410;509;564;409
Nick;245;0;0;0;0;2;4;10;115;697;758;444
Hermanus;243;330;651;627;582;563;404;192;86;49;23;12
Rick;241;0;0;0;0;1;5;26;189;737;779;251
Bas;240;0;0;1;1;2;14;114;408;510;596;340
Roelof;237;990;493;412;406;398;358;268;198;128;68;37
Harm;235;330;451;386;387;363;322;259;209;145;109;56
Simon;234;990;441;377;349;289;226;161;193;204;223;240
Lambertus;232;0;538;508;499;482;403;238;106;56;26;9
Joseph;231;660;507;551;570;553;408;146;69;45;25;17
Josephus;228;660;448;481;506;532;417;180;89;51;20;5
Max;224;0;65;47;39;39;31;25;35;252;860;576
Mike;224;0;0;0;0;1;15;100;175;585;664;290
Vincent;219;0;14;5;8;19;56;253;565;492;285;105
Joost;219;0;83;68;70;78;94;189;477;407;318;148
Danny;216;0;0;0;0;6;29;230;507;613;289;85
Geert;216;0;434;365;348;333;294;243;200;152;84;45
Evert;213;330;420;402;378;357;298;230;163;124;77;50
Michiel;213;0;86;75;91;96;147;311;535;324;146;55
Koen;212;0;3;5;4;6;17;65;248;494;536;393
Jelle;212;0;93;87;94;85;91;87;196;345;531;311
Bastiaan;212;0;262;219;187;165;148;275;408;248;158;100
Remco;210;0;0;1;2;3;52;345;578;409;246;54
Erwin;207;0;3;8;19;25;172;569;411;297;77;13
Jesse;206;0;0;0;1;1;2;10;50;215;685;771
Jeffrey;202;0;0;0;0;9;31;102;301;779;361;61
Frans;199;0;572;416;439;394;297;184;122;78;43;26
Berend;198;330;341;347;334;319;277;195;132;110;113;87
Marc;197;0;0;1;3;12;100;501;382;280;197;52
Sebastiaan;196;0;0;14;14;13;34;165;594;406;242;148
Sven;195;0;0;0;2;3;11;61;140;307;495;616
Eduard;186;330;162;162;237;341;359;301;106;51;24;12
Luuk;185;0;0;0;1;2;4;10;47;227;540;728
Andreas;184;330;165;236;257;318;385;239;106;64;29;19
Teunis;184;0;372;422;385;318;250;173;113;90;70;60
Stijn;183;0;0;1;1;1;2;14;75;181;566;710
Marcus;178;0;31;33;31;54;273;534;205;115;56;50
Jozef;178;330;214;267;334;417;364;143;69;43;22;9
Sjoerd;173;660;131;98;92;101;95;111;284;315;265;143
Raymond;172;0;14;8;16;51;137;469;416;170;57;11
Arnoldus;168;660;341;378;337;331;294;203;78;37;16;6
Matthijs;167;0;83;87;78;80;64;85;257;281;325;201
Sem;164;0;0;0;0;0;0;1;7;31;419;949
Wesley;162;0;0;0;0;0;1;1;183;585;402;176
Arend;161;330;334;341;273;270;226;169;125;88;60;43
Rob;161;0;0;6;24;35;117;174;430;364;130;24
André;159;0;62;61;86;151;298;382;178;62;27;11
Maurice;157;0;10;12;9;15;64;401;368;210;128;29
Steven;151;330;72;64;60;66;85;187;249;308;182;71
Joris;149;0;24;16;21;19;24;91;264;267;299;248
Abraham;149;330;445;360;285;242;179;137;118;93;68;45
Gijs;147;0;3;6;8;5;8;21;131;162;407;495
Milan;147;0;0;1;3;4;3;8;21;69;306;845
Hendricus;144;990;462;386;379;321;228;114;51;31;13;5
Joannes;143;660;393;455;396;336;240;84;34;23;12;3
Floris;143;0;48;46;37;34;30;50;153;174;313;399
John;141;0;69;51;70;143;220;262;188;126;46;25
Karel;136;660;351;326;325;286;195;100;63;52;38;31
Pascal;135;0;0;0;0;1;9;251;413;232;135;42
Andries;134;0;317;283;257;236;192;144;96;60;41;29
Jordy;133;0;0;0;0;0;0;3;106;387;460;143
Joey;133;0;0;0;0;0;1;2;74;391;400;236
Gijsbertus;131;330;248;305;267;270;203;124;74;43;27;18
Sam;129;0;0;0;1;2;1;3;13;93;449;524
Hugo;128;0;72;82;76;86;88;84;122;88;163;342
Dylan;127;0;0;0;0;0;0;8;15;177;475;383
Julian;125;0;0;1;2;2;3;13;23;77;368;571
Arjan;124;0;0;0;1;6;34;268;396;190;68;23
Justin;123;0;0;1;0;1;1;12;62;186;441;323
Benjamin;122;0;55;46;46;54;53;52;140;180;166;325
Gerhardus;121;0;317;326;310;278;200;92;40;24;10;5
Aart;120;660;252;228;223;198;170;127;92;65;48;27
Menno;117;0;17;24;24;37;78;165;222;156;175;71
Laurens;117;0;69;69;60;59;52;79;159;236;182;121
Bob;116;0;21;74;108;72;84;97;147;224;157;56
Derk;115;330;255;247;215;201;161;118;82;59;44;24
Pim;115;0;0;0;5;9;20;38;118;264;256;242
Egbert;114;0;169;190;194;190;177;139;98;55;28;14
Gijsbert;112;0;190;177;161;162;143;117;109;81;65;47
Stan;111;0;0;0;0;0;2;9;21;77;454;363
Anne;110;330;183;173;171;160;151;124;102;83;47;30
Bernard;110;330;214;198;250;203;161;111;72;52;23;14
Casper;109;0;24;48;36;34;37;60;94;146;246;244
Ricardo;108;0;0;0;3;11;42;69;134;364;201;51
Mathijs;107;330;55;74;80;67;62;55;116;163;195;141
Roel;107;0;31;12;16;19;28;79;273;256;141;68
Anton;106;0;134;169;184;167;156;117;83;61;49;26
Ferdinand;106;0;110;133;144;197;180;124;94;57;21;10
Teun;105;0;3;4;5;7;8;10;50;105;253;455
Niek;104;0;0;0;1;2;3;12;108;210;266;276
Robbert;104;0;24;29;50;53;89;121;179;248;79;9
Mohammed;103;0;7;12;35;47;63;76;81;126;183;229
Levi;101;0;0;1;0;0;0;1;9;41;178;646
Timo;100;0;0;0;1;0;3;19;45;133;324;307
Roland;100;0;3;8;19;45;157;261;162;78;20;6
Christian;99;0;3;9;11;11;26;113;261;174;115;99
Louis;98;0;279;246;200;199;139;77;45;36;35;39
Finn;98;0;0;0;0;0;0;1;2;7;138;709
Stephan;98;0;3;7;6;8;30;137;218;288;82;20
Arthur;97;330;38;43;48;79;132;165;116;77;69;65
Ali;97;0;3;17;52;57;110;137;120;113;87;92
Alex;94;0;28;26;32;59;82;104;118;139;125;94
Antonie;94;0;234;219;196;178;138;86;50;36;33;21
Arnold;93;0;76;92;96;103;128;169;145;56;20;8
Noah;93;0;0;0;0;0;0;0;1;9;271;517
Leon;93;0;21;15;11;13;29;83;145;187;176;108
Guido;92;0;0;9;15;24;65;156;186;149;89;46
Joep;92;0;0;0;2;2;2;15;74;125;243;317
Brian;92;0;0;0;2;3;8;63;103;243;242;86
Rik;92;0;0;3;4;5;9;17;106;248;258;111
Rutger;91;0;17;22;17;22;24;60;208;189;161;64
Ivo;91;0;7;9;6;15;34;110;266;138;107;60
Wessel;90;0;34;17;26;24;24;25;36;98;292;220
Mees;89;0;7;5;4;5;3;2;3;15;226;509
Ramon;89;0;0;2;8;13;17;115;188;178;151;52
Jakob;88;660;248;200;179;138;118;94;64;41;30;28
Ryan;88;0;0;0;0;0;1;11;30;75;230;399
Job;87;0;48;30;21;22;20;24;66;108;259;200
Reinier;87;330;121;94;95;99;127;103;101;79;48;29
Marten;86;0;138;131;123;123;100;89;79;71;60;34
Rens;86;0;0;3;5;6;10;10;47;150;234;256
Jayden;84;0;0;0;0;0;0;0;0;0;44;697
Johnny;84;0;7;12;38;85;137;161;110;75;23;14
Dave;83;0;0;0;1;1;7;60;189;172;175;84
Harry;83;0;69;111;134;172;162;90;43;28;13;7
George;82;330;141;156;137;154;128;82;58;41;22;18
Victor;82;0;52;42;51;59;76;76;74;102;126;89
Jens;81;0;0;0;1;1;2;5;19;56;202;404
Henk;80;0;34;61;87;108;136;109;79;53;32;23
Marius;80;660;128;124;131;137;118;74;61;50;36;30
Henri;80;660;307;198;182;144;117;85;51;29;13;7
Jochem;80;0;24;26;28;23;21;41;120;119;189;116
Luc;79;0;0;0;1;4;13;25;45;112;280;173
Daniel;79;0;76;66;56;47;43;79;123;90;94;107
Harmen;78;0;141;120;111;108;89;78;88;72;47;27
Arjen;78;0;21;24;21;30;62;142;175;103;53;23
Pepijn;77;0;0;0;0;0;1;25;62;56;195;314
Kornelis;77;330;179;161;151;129;108;82;57;40;22;15
Bartholomeus;76;0;100;97;84;80;100;119;119;59;27;4
